title,author,journal,date,link,new_article,new_citation,related,subject
[HTML] Optimized Multi-Antenna MRC for 16-QAM Transmission in a Photonics-Aided Millimeter-Wave System,"R Uddin, W Li, J Yu",Sensors,2025-08-19 01:22:36-2025,https://www.mdpi.com/1424-8220/25/16/5010,,,Xiaoxiao Xue ,
[HTML] Cavity-enhanced harmonic generation of an optical frequency comb with Laguerre–Gaussian mode,"Z Xiao, H Zhang, Y Wang, L Hua, TZ Zuo, S Xu, S Yu…",Optics Letters,2025-08-18 03:40:42-2025,https://opg.optica.org/viewmedia.cfm?uri=ol-50-16-5153&seq=0&html=true,,,Xiaoxiao Xue ;Tobias Herr ,optical frequency combs
[PDF] Non-Markovian Exceptional Points by Interpolating Quantum Channels,"WC Wong, B Zeng, J Li",arXiv preprint arXiv:2507.16049,2025-08-19 01:22:36-2025,https://arxiv.org/pdf/2507.16049,,,Lan Yang ,
[PDF] Fragmented exceptional points and their bulk and edge realizations in lattice models,"S Bid, H Schomerus",arXiv preprint arXiv:2507.22158,2025-08-19 01:22:36-2025,https://arxiv.org/pdf/2507.22158,,,Lan Yang ,
[PDF] High-sensitivity Optical Microcavity Acoustic Sensor Covering Free Spectral Range,"Q Song, H Li, C Yu, D Wang, X Wu, Z Liu, J Huang…",arXiv preprint arXiv …,2025-08-18 03:40:42-2025,https://arxiv.org/pdf/2508.10229,,,Lan Yang ,microresonator
[HTML] Inherent non-Hermitian Chern insulators with PT-symmetry and synthetic translation dimension,"KX Sun, JW Dong, WJ Chen",Photonics Research,2025-08-19 01:22:36-2025,https://opg.optica.org/prj/fulltext.cfm?uri=prj-13-8-2400,,,Lan Yang ,
[HTML] Observation of topological bound states in the continuum in photonic non-Hermitian trimer lattices,"M Zhang, W Cheng, R Chen, H Wu, W Liu, W Yan…",Optics Letters,2025-08-19 01:22:36-2025,https://opg.optica.org/viewmedia.cfm?uri=ol-50-16-5006&seq=0&html=true,,,Lan Yang ,
[PDF] Single solitons and intermode breathing solitons in MgF 2 microresonators,"A Niang, L Courtright, G Carter, CR Menyuk",Physical Review A,2025-08-19 01:22:36-2025,https://link.aps.org/pdf/10.1103/bkzf-65qy,,,Lan Yang ,
In-plane linear stress waves in layered media: I. Non-Hermitian degeneracies and modal chirality,"V Alizadeh, AV Amirkhizi",Wave Motion,2025-08-19 01:22:36-2025,https://www.sciencedirect.com/science/article/pii/S0165212525001210,,,Lan Yang ,
[HTML] Non-reciprocal frequency conversion in a non-Hermitian multimode nonlinear system,"S Pontula, S Vaidya, C Roques-Carmes, SZ Uddin…",Nature Communications,2025-08-18 03:40:42-2025,https://www.nature.com/articles/s41467-025-62853-0,,,Lan Yang ,disspiative kerr soliton;optical frequency combs;microresonator
Sensor properties of layered non-Hermitian structures supporting high-quality resonances governed by bound states in the continuum,"DV Novitsky, M Ramanovich",Photonics and Nanostructures-Fundamentals and …,2025-08-19 01:22:36-2025,https://www.sciencedirect.com/science/article/pii/S156944102500077X,,,Lan Yang ,
[HTML] Fast thermo-optic switching through parity-time symmetry breaking,"R Pradip, A Varri, L McRae, F Brückerhoff-Plückelmann…",Optics Express,2025-08-18 03:40:42-2025,https://opg.optica.org/viewmedia.cfm?uri=oe-33-17-36100&seq=0&html=true,,,Lan Yang ;Michal Lipson ;Pascal Del'Haye ,silicon photonics;Photonic Computing 
[HTML] Potentials with partly constant free spectral range and their application to SNAP microresonators,M Sumetsky,Optics Letters,2025-08-22 11:37:00-2025,https://opg.optica.org/viewmedia.cfm?uri=ol-50-16-5129&seq=0&html=true,,,Michal Lipson ;Tobias Herr ;Pascal Del'Haye ;Xingchen Ji;Myoung-Gyun Suh (서명균; 徐明均) ,optical frequency combs;microresonator
Photonic Spin‐Locking via Momentum‐Biased Higher‐Order Topological Orbital Hybridization,"M Wang, Y Wu, X Ni, A Vakulenko, S Kiriushechkina…",Advanced Materials,2025-08-19 01:22:36-,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202511084,,,Michal Lipson ,
[PDF] Photon-mediated interactions and dynamics of coherently driven quantum emitters in complex photonic environments,"A Miguel-Torcal, A González-Tudela, FJ García-Vidal…",arXiv preprint arXiv …,2025-08-06 19:44:19-2025,https://arxiv.org/pdf/2508.00465,,,Michal Lipson ,microresonator
[HTML] Cross dual-microcomb dispersion interferometry ranging,"Y Wang, J Wang, J Huang, W Wang, L Huang, W Shao…",Science Advances,2025-08-18 03:40:42-2025,https://www.science.org/doi/full/10.1126/sciadv.adt4252,,,Tobias Herr ;Myoung-Gyun Suh (서명균; 徐明均) ;Pascal Del'Haye ,disspiative kerr soliton;optical frequency combs;microresonator
Properties of the Hilbert–Nonlinear Schrödinger Solitons and Related Nonlocal Systems,"VT Hoang, M Langker, C Silvestri, YL Qiang, J Widjaja…",ACS Photonics,2025-08-19 01:22:36-2025,https://pubs.acs.org/doi/abs/10.1021/acsphotonics.5c01158,,,Tobias Herr ,
[HTML] Large-core As2S3 photonic crystal fibers with three different lattices for ultra-flattened supercontinuum generation spectra,"BC Van, BT Le Tran, LP Thi, HN Trung, LC Van",Discover Materials,2025-08-19 01:22:36-2025,https://link.springer.com/article/10.1007/s43939-025-00351-2,,,Tobias Herr ,
[HTML] Optical fiber sensor with enhanced strain sensitivity based on the Vernier effect in a three-FBG cascaded Fabry–Perot configuration,"DC Bharathan, RM Wagterveld, K Chah, C Caucheteur…",Optical Fiber Technology,2025-08-19 01:22:36-2025,https://www.sciencedirect.com/science/article/pii/S1068520025002366,,,Tobias Herr ,
MRR‐Assisted MZI Crossbar Array for Energy‐Efficient Optical Parallel Computing,"S Jiang, X Liu, B Wu, S Sun, H Zhou, J Dong, X Zhang",Laser & Photonics Reviews,2025-08-18 03:40:42-,https://onlinelibrary.wiley.com/doi/abs/10.1002/lpor.202501035,Xinliang Zhang ,,,Optical Computing ;Photonic Computing 
Generation of switchable spatial modes from the Brillouin random fiber laser,"J Zhang, Z Chu, L Gui, S Zhang, Q Zhan, A Wang",Optics Communications,2025-08-19 01:22:36-2025,https://www.sciencedirect.com/science/article/pii/S003040182500865X,,,Myoung-Gyun Suh (서명균; 徐明均) ,
[HTML] Ultra-low-phase-noise photonic microwave generation and high-precision laser frequency determination with an NPRO dual-frequency laser,"W Fan, W Li, C Ma, X Gong, J Xu, HC Yeh, C Guo",Optics Letters,2025-08-18 03:40:42-2025,https://opg.optica.org/viewmedia.cfm?uri=ol-50-17-5206&seq=0&html=true,,,Myoung-Gyun Suh (서명균; 徐明均) ;Xingchen Ji,optical frequency combs
[HTML] Temporal fusion of entangled resource states from a quantum emitter,"Y Meng, CFD Faurby, ML Chan, RB Nielsen, PI Sund…",Nature Communications,2025-08-19 01:22:36-2025,https://www.nature.com/articles/s41467-025-62130-0,,,Xingchen Ji,
Parametric analysis of pulsating soliton dynamics in fiber laser using the complex Ginzburg-Landau framework,"B Borah, DR Sarmah, D Phukan",Journal of Optics,2025-08-18 03:40:42-2025,https://link.springer.com/article/10.1007/s12596-025-02882-6,,,,disspiative kerr soliton
"An Optimization Strategy for High-Energy, Few-Cycle Pulse Generation Directly from Er-Doped Mamyshev Oscillators","F Zou, Z Liu, Y Yao, K Liu, H Zhi, J Zhang, Z Lu, H Wu",Journal of Lightwave …,2025-08-18 03:40:42-2025,https://ieeexplore.ieee.org/abstract/document/11125881/,,,,disspiative kerr soliton
[PDF] Optical computing: advancing next-generation optical network applications,"L LI JJ, XL HUO",ZTE technology journal,2025-08-18 03:40:42-,https://www.zte.com.cn/content/dam/zte-site/res-www-zte-com-cn/mediares/magazine/publication/com_cn/article/202504/9.pdf,,,,Optical Computing 
